       x       rho           u      p
    0.4340    0.5272    0.7110    0.4081
    0.4360    0.5230    0.7193    0.4035
    0.4380    0.5188    0.7277    0.3990
    0.4400    0.5146    0.7360    0.3946
    0.4420    0.5105    0.7443    0.3901
    0.4440    0.5064    0.7527    0.3858
    0.4460    0.5023    0.7610    0.3814
    0.4480    0.4983    0.7693    0.3771
    0.4500    0.4943    0.7777    0.3729
    0.4520    0.4903    0.7860    0.3687
    0.4540    0.4863    0.7943    0.3645
    0.4560    0.4824    0.8027    0.3604
    0.4580    0.4785    0.8110    0.3563
    0.4600    0.4746    0.8193    0.3522
    0.4620    0.4707    0.8277    0.3482
    0.4640    0.4668    0.8360    0.3442
    0.4660    0.4630    0.8443    0.3403
    0.4680    0.4592    0.8527    0.3364
    0.4700    0.4555    0.8610    0.3325
    0.4720    0.4517    0.8693    0.3287
    0.4740    0.4480    0.8777    0.3249
    0.4760    0.4443    0.8860    0.3212
    0.4780    0.4407    0.8943    0.3175
    0.4800    0.4370    0.9027    0.3138
    0.4820    0.4334    0.9110    0.3102
    0.4840    0.4298    0.9193    0.3066
    0.4860    0.4263    0.9275    0.3031
    0.4880    0.4263    0.9275    0.3031
    0.4900    0.4263    0.9275    0.3031
    0.4920    0.4263    0.9275    0.3031
    0.4940    0.4263    0.9275    0.3031
    0.4960    0.4263    0.9275    0.3031
    0.4980    0.4263    0.9275    0.3031
    0.5000    0.4263    0.9275    0.3031
    0.5020    0.4263    0.9275    0.3031
    0.5040    0.4263    0.9275    0.3031
    0.5060    0.4263    0.9275    0.3031
    0.5080    0.4263    0.9275    0.3031
    0.5100    0.4263    0.9275    0.3031
    0.5120    0.4263    0.9275    0.3031
    0.5140    0.4263    0.9275    0.3031
    0.5160    0.4263    0.9275    0.3031
    0.5180    0.4263    0.9275    0.3031
    0.5200    0.4263    0.9275    0.3031
    0.5220    0.4263    0.9275    0.3031
    0.5240    0.4263    0.9275    0.3031
    0.5260    0.4263    0.9275    0.3031
    0.5280    0.4263    0.9275    0.3031
    0.5300    0.4263    0.9275    0.3031
    0.5320    0.4263    0.9275    0.3031
    0.5340    0.4263    0.9275    0.3031
    0.5360    0.4263    0.9275    0.3031
    0.5380    0.4263    0.9275    0.3031
    0.5400    0.4263    0.9275    0.3031
    0.5420    0.4263    0.9275    0.3031
    0.5440    0.4263    0.9275    0.3031
    0.5460    0.4263    0.9275    0.3031
    0.5480    0.4263    0.9275    0.3031
    0.5500    0.4263    0.9275    0.3031
    0.5520    0.4263    0.9275    0.3031
    0.5540    0.4263    0.9275    0.3031
    0.5560    0.4263    0.9275    0.3031
    0.5580    0.4263    0.9275    0.3031
    0.5600    0.4263    0.9275    0.3031
    0.5620    0.4263    0.9275    0.3031
    0.5640    0.4263    0.9275    0.3031
    0.5660    0.4263    0.9275    0.3031
    0.5680    0.4263    0.9275    0.3031
    0.5700    0.4263    0.9275    0.3031
    0.5720    0.4263    0.9275    0.3031
    0.5740    0.4263    0.9275    0.3031
    0.5760    0.4263    0.9275    0.3031
    0.5780    0.4263    0.9275    0.3031
    0.5800    0.4263    0.9275    0.3031
    0.5820    0.4263    0.9275    0.3031
    0.5840    0.4263    0.9275    0.3031
    0.5860    0.4263    0.9275    0.3031
    0.5880    0.4263    0.9275    0.3031
    0.5900    0.4263    0.9275    0.3031
    0.5920    0.4263    0.9275    0.3031
    0.5940    0.4263    0.9275    0.3031
    0.5960    0.4263    0.9275    0.3031
    0.5980    0.4263    0.9275    0.3031
    0.6000    0.4263    0.9275    0.3031
    0.6020    0.4263    0.9275    0.3031
    0.6040    0.4263    0.9275    0.3031
    0.6060    0.4263    0.9275    0.3031
    0.6080    0.4263    0.9275    0.3031
    0.6100    0.4263    0.9275    0.3031
    0.6120    0.4263    0.9275    0.3031
    0.6140    0.4263    0.9275    0.3031
    0.6160    0.4263    0.9275    0.3031
    0.6180    0.4263    0.9275    0.3031
    0.6200    0.4263    0.9275    0.3031
    0.6220    0.4263    0.9275    0.3031
    0.6240    0.4263    0.9275    0.3031
    0.6260    0.4263    0.9275    0.3031
    0.6280    0.4263    0.9275    0.3031
    0.6300    0.4263    0.9275    0.3031
    0.6320    0.4263    0.9275    0.3031
    0.6340    0.4263    0.9275    0.3031
    0.6360    0.4263    0.9275    0.3031
    0.6380    0.4263    0.9275    0.3031
    0.6400    0.4263    0.9275    0.3031
    0.6420    0.4263    0.9275    0.3031
    0.6440    0.4263    0.9275    0.3031
    0.6460    0.4263    0.9275    0.3031
    0.6480    0.4263    0.9275    0.3031
    0.6500    0.4263    0.9275    0.3031
    0.6520    0.4263    0.9275    0.3031
    0.6540    0.4263    0.9275    0.3031
    0.6560    0.4263    0.9275    0.3031
    0.6580    0.4263    0.9275    0.3031
    0.6600    0.4263    0.9275    0.3031
    0.6620    0.4263    0.9275    0.3031
    0.6640    0.4263    0.9275    0.3031
    0.6660    0.4263    0.9275    0.3031
    0.6680    0.4263    0.9275    0.3031
    0.6700    0.4263    0.9275    0.3031
    0.6720    0.4263    0.9275    0.3031
    0.6740    0.4263    0.9275    0.3031
    0.6760    0.4263    0.9275    0.3031
    0.6780    0.4263    0.9275    0.3031
    0.6800    0.4263    0.9275    0.3031
    0.6820    0.4263    0.9275    0.3031
    0.6840    0.4263    0.9275    0.3031
    0.6860    0.2656    0.9275    0.3031
    0.6880    0.2656    0.9275    0.3031
    0.6900    0.2656    0.9275    0.3031
    0.6920    0.2656    0.9275    0.3031
    0.6940    0.2656    0.9275    0.3031
    0.6960    0.2656    0.9275    0.3031
    0.6980    0.2656    0.9275    0.3031
    0.7000    0.2656    0.9275    0.3031
    0.7020    0.2656    0.9275    0.3031
    0.7040    0.2656    0.9275    0.3031
    0.7060    0.2656    0.9275    0.3031
    0.7080    0.2656    0.9275    0.3031
    0.7100    0.2656    0.9275    0.3031
    0.7120    0.2656    0.9275    0.3031
    0.7140    0.2656    0.9275    0.3031
    0.7160    0.2656    0.9275    0.3031
    0.7180    0.2656    0.9275    0.3031
    0.7200    0.2656    0.9275    0.3031
    0.7220    0.2656    0.9275    0.3031
    0.7240    0.2656    0.9275    0.3031
    0.7260    0.2656    0.9275    0.3031
    0.7280    0.2656    0.9275    0.3031
    0.7300    0.2656    0.9275    0.3031
