      x        rho           u     p
    0.6620    0.4229    0.9271    0.3033
    0.6640    0.4219    0.9271    0.3033
    0.6660    0.4203    0.9271    0.3033
    0.6680    0.4181    0.9271    0.3033
    0.6700    0.4148    0.9271    0.3033
    0.6720    0.4103    0.9271    0.3033
    0.6740    0.4043    0.9271    0.3033
    0.6760    0.3966    0.9271    0.3033
    0.6780    0.3873    0.9271    0.3033
    0.6800    0.3763    0.9271    0.3033
    0.6820    0.3640    0.9271    0.3033
    0.6840    0.3508    0.9271    0.3033
    0.6860    0.3374    0.9271    0.3033
    0.6880    0.3242    0.9271    0.3033
    0.6900    0.3120    0.9271    0.3033
    0.6920    0.3011    0.9271    0.3033
    0.6940    0.2918    0.9271    0.3033
    0.6960    0.2843    0.9271    0.3033
    0.6980    0.2785    0.9271    0.3033
    0.7000    0.2742    0.9271    0.3033
    0.7020    0.2712    0.9271    0.3033
    0.7040    0.2692    0.9271    0.3033
    0.7060    0.2679    0.9271    0.3033
    0.7080    0.2671    0.9271    0.3033
    0.7100    0.2666    0.9271    0.3033
    0.7120    0.2664    0.9271    0.3033
    0.7140    0.2662    0.9271    0.3033
    0.7160    0.2662    0.9271    0.3033
    0.7180    0.2661    0.9271    0.3033
    0.7200    0.2661    0.9271    0.3033
    0.7220    0.2661    0.9271    0.3033
    0.7240    0.2661    0.9271    0.3033
    0.7260    0.2661    0.9271    0.3033
    0.7280    0.2661    0.9271    0.3033
    0.7300    0.2661    0.9271    0.3033
    0.7320    0.2661    0.9271    0.3033
    0.7340    0.2661    0.9271    0.3033
    0.7360    0.2661    0.9271    0.3033
    0.7380    0.2661    0.9271    0.3033
    0.7400    0.2661    0.9271    0.3033
    0.7420    0.2661    0.9271    0.3033
    0.7440    0.2661    0.9271    0.3033
    0.7460    0.2661    0.9271    0.3033
    0.7480    0.2661    0.9271    0.3033
    0.7500    0.2661    0.9271    0.3033
    0.7520    0.2661    0.9271    0.3033
    0.7540    0.2661    0.9271    0.3033
    0.7560    0.2661    0.9271    0.3033
    0.7580    0.2661    0.9271    0.3033
    0.7600    0.2661    0.9271    0.3033
    0.7620    0.2661    0.9271    0.3033
    0.7640    0.2661    0.9271    0.3033
    0.7660    0.2661    0.9271    0.3033
    0.7680    0.2661    0.9271    0.3033
    0.7700    0.2661    0.9271    0.3033
    0.7720    0.2661    0.9271    0.3033
    0.7740    0.2661    0.9271    0.3033
    0.7760    0.2661    0.9271    0.3033
    0.7780    0.2661    0.9271    0.3033
    0.7800    0.2661    0.9271    0.3033
    0.7820    0.2661    0.9271    0.3033
    0.7840    0.2661    0.9271    0.3033
    0.7860    0.2661    0.9271    0.3033
    0.7880    0.2661    0.9271    0.3033
    0.7900    0.2661    0.9271    0.3033
    0.7920    0.2661    0.9271    0.3033
    0.7940    0.2661    0.9271    0.3033
    0.7960    0.2661    0.9271    0.3033
    0.7980    0.2661    0.9271    0.3033
    0.8000    0.2661    0.9271    0.3033
    0.8020    0.2661    0.9271    0.3033
    0.8040    0.2661    0.9271    0.3033
    0.8060    0.2661    0.9271    0.3033
    0.8080    0.2661    0.9271    0.3033
    0.8100    0.2661    0.9271    0.3033
    0.8120    0.2661    0.9271    0.3033
    0.8140    0.2661    0.9271    0.3033
    0.8160    0.2661    0.9271    0.3033
    0.8180    0.2661    0.9271    0.3033
    0.8200    0.2661    0.9271    0.3033
    0.8220    0.2661    0.9271    0.3033
    0.8240    0.2661    0.9271    0.3033
    0.8260    0.2661    0.9271    0.3033
    0.8280    0.2661    0.9271    0.3033
    0.8300    0.2661    0.9271    0.3033
    0.8320    0.2661    0.9271    0.3033
    0.8340    0.2661    0.9271    0.3033
    0.8360    0.2661    0.9271    0.3033
    0.8380    0.2661    0.9271    0.3033
    0.8400    0.2661    0.9271    0.3033
    0.8420    0.2661    0.9271    0.3033
    0.8440    0.2661    0.9271    0.3033
    0.8460    0.2661    0.9271    0.3033
    0.8480    0.2657    0.9249    0.3025
    0.8500    0.2355    0.7722    0.2550
    0.8520    0.1271    0.0174    0.1023
    0.8540    0.1250         0    0.1000
    0.8560    0.1250         0    0.1000
    0.8580    0.1250         0    0.1000
    0.8600    0.1250         0    0.1000
    0.8620    0.1250         0    0.1000
    0.8640    0.1250         0    0.1000
    0.8660    0.1250         0    0.1000
    0.8680    0.1250         0    0.1000
    0.8700    0.1250         0    0.1000
    0.8720    0.1250         0    0.1000
    0.8740    0.1250         0    0.1000
    0.8760    0.1250         0    0.1000
    0.8780    0.1250         0    0.1000
    0.8800    0.1250         0    0.1000
    0.8820    0.1250         0    0.1000
    0.8840    0.1250         0    0.1000
    0.8860    0.1250         0    0.1000
    0.8880    0.1250         0    0.1000
    0.8900    0.1250         0    0.1000
    0.8920    0.1250         0    0.1000
    0.8940    0.1250         0    0.1000
    0.8960    0.1250         0    0.1000
    0.8980    0.1250         0    0.1000
    0.9000    0.1250         0    0.1000
    0.9020    0.1250         0    0.1000
    0.9040    0.1250         0    0.1000
    0.9060    0.1250         0    0.1000
    0.9080    0.1250         0    0.1000
    0.9100    0.1250         0    0.1000
    0.9120    0.1250         0    0.1000
    0.9140    0.1250         0    0.1000
    0.9160    0.1250         0    0.1000
    0.9180    0.1250         0    0.1000
    0.9200    0.1250         0    0.1000
    0.9220    0.1250         0    0.1000
    0.9240    0.1250         0    0.1000
    0.9260    0.1250         0    0.1000
    0.9280    0.1250         0    0.1000
    0.9300    0.1250         0    0.1000
    0.9320    0.1250         0    0.1000
    0.9340    0.1250         0    0.1000
    0.9360    0.1250         0    0.1000
    0.9380    0.1250         0    0.1000
    0.9400    0.1250         0    0.1000
    0.9420    0.1250         0    0.1000
    0.9440    0.1250         0    0.1000
    0.9460    0.1250         0    0.1000
    0.9480    0.1250         0    0.1000
    0.9500    0.1250         0    0.1000
    0.9520    0.1250         0    0.1000
    0.9540    0.1250         0    0.1000
    0.9560    0.1250         0    0.1000
    0.9580    0.1250         0    0.1000
    0.9600    0.1250         0    0.1000
    0.9620    0.1250         0    0.1000
    0.9640    0.1250         0    0.1000
    0.9660    0.1250         0    0.1000
    0.9680    0.1250         0    0.1000
    0.9700    0.1250         0    0.1000
    0.9720    0.1250         0    0.1000
    0.9740    0.1250         0    0.1000
    0.9760    0.1250         0    0.1000
    0.9780    0.1250         0    0.1000
    0.9800    0.1250         0    0.1000
    0.9820    0.1250         0    0.1000
    0.9840    0.1250         0    0.1000
    0.9860    0.1250         0    0.1000
    0.9880    0.1250         0    0.1000
    0.9900    0.1250         0    0.1000
    0.9920    0.1250         0    0.1000
    0.9940    0.1250         0    0.1000
    0.9960    0.1250         0    0.1000
    0.9980    0.1250         0    0.1000
    1.0000    0.1250         0    0.1000
