      x        rho           u     p
    0.6280    0.4275    0.9249    0.3043
    0.6300    0.4275    0.9249    0.3043
    0.6320    0.4274    0.9247    0.3042
    0.6340    0.4274    0.9248    0.3042
    0.6360    0.4275    0.9250    0.3043
    0.6380    0.4274    0.9247    0.3042
    0.6400    0.4274    0.9247    0.3042
    0.6420    0.4275    0.9249    0.3043
    0.6440    0.4274    0.9247    0.3042
    0.6460    0.4274    0.9247    0.3042
    0.6480    0.4275    0.9249    0.3043
    0.6500    0.4274    0.9248    0.3042
    0.6520    0.4274    0.9247    0.3042
    0.6540    0.4275    0.9249    0.3043
    0.6560    0.4274    0.9248    0.3043
    0.6580    0.4274    0.9247    0.3042
    0.6600    0.4275    0.9249    0.3043
    0.6620    0.4275    0.9249    0.3043
    0.6640    0.4274    0.9247    0.3042
    0.6660    0.4274    0.9248    0.3042
    0.6680    0.4275    0.9249    0.3043
    0.6700    0.4274    0.9247    0.3042
    0.6720    0.4274    0.9247    0.3042
    0.6740    0.4274    0.9250    0.3043
    0.6760    0.4274    0.9248    0.3043
    0.6780    0.4273    0.9247    0.3042
    0.6800    0.4270    0.9249    0.3043
    0.6820    0.4205    0.9249    0.3043
    0.6840    0.3752    0.9247    0.3042
    0.6860    0.3027    0.9247    0.3042
    0.6880    0.2752    0.9250    0.3043
    0.6900    0.2701    0.9249    0.3043
    0.6920    0.2695    0.9246    0.3042
    0.6940    0.2695    0.9248    0.3042
    0.6960    0.2695    0.9250    0.3043
    0.6980    0.2695    0.9248    0.3042
    0.7000    0.2694    0.9247    0.3042
    0.7020    0.2695    0.9250    0.3043
    0.7040    0.2695    0.9250    0.3043
    0.7060    0.2694    0.9247    0.3042
    0.7080    0.2695    0.9248    0.3042
    0.7100    0.2695    0.9250    0.3043
    0.7120    0.2695    0.9248    0.3042
    0.7140    0.2694    0.9247    0.3042
    0.7160    0.2695    0.9249    0.3043
    0.7180    0.2695    0.9250    0.3043
    0.7200    0.2694    0.9247    0.3042
    0.7220    0.2694    0.9246    0.3042
    0.7240    0.2695    0.9249    0.3043
    0.7260    0.2695    0.9250    0.3043
    0.7280    0.2695    0.9247    0.3042
    0.7300    0.2694    0.9246    0.3042
    0.7320    0.2695    0.9249    0.3043
    0.7340    0.2695    0.9250    0.3043
    0.7360    0.2694    0.9247    0.3042
    0.7380    0.2694    0.9246    0.3042
    0.7400    0.2695    0.9250    0.3043
    0.7420    0.2695    0.9249    0.3043
    0.7440    0.2694    0.9246    0.3042
    0.7460    0.2695    0.9248    0.3042
    0.7480    0.2695    0.9250    0.3043
    0.7500    0.2694    0.9247    0.3042
    0.7520    0.2694    0.9247    0.3042
    0.7540    0.2695    0.9250    0.3043
    0.7560    0.2695    0.9248    0.3043
    0.7580    0.2694    0.9246    0.3042
    0.7600    0.2695    0.9248    0.3042
    0.7620    0.2695    0.9250    0.3043
    0.7640    0.2694    0.9247    0.3042
    0.7660    0.2694    0.9247    0.3042
    0.7680    0.2695    0.9250    0.3043
    0.7700    0.2695    0.9248    0.3042
    0.7720    0.2694    0.9246    0.3042
    0.7740    0.2695    0.9248    0.3043
    0.7760    0.2695    0.9249    0.3043
    0.7780    0.2694    0.9247    0.3042
    0.7800    0.2694    0.9247    0.3042
    0.7820    0.2695    0.9250    0.3043
    0.7840    0.2695    0.9249    0.3043
    0.7860    0.2694    0.9246    0.3042
    0.7880    0.2695    0.9248    0.3043
    0.7900    0.2695    0.9249    0.3043
    0.7920    0.2694    0.9247    0.3042
    0.7940    0.2694    0.9246    0.3042
    0.7960    0.2695    0.9250    0.3043
    0.7980    0.2695    0.9249    0.3043
    0.8000    0.2694    0.9246    0.3042
    0.8020    0.2695    0.9248    0.3042
    0.8040    0.2695    0.9250    0.3043
    0.8060    0.2695    0.9249    0.3043
    0.8080    0.2694    0.9246    0.3042
    0.8100    0.2694    0.9247    0.3042
    0.8120    0.2695    0.9250    0.3043
    0.8140    0.2695    0.9248    0.3043
    0.8160    0.2694    0.9246    0.3042
    0.8180    0.2695    0.9249    0.3043
    0.8200    0.2695    0.9250    0.3043
    0.8220    0.2694    0.9246    0.3042
    0.8240    0.2694    0.9247    0.3042
